,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,gtex_tissue,data_source
462,usage_CL:0010002 total RNA-seq,-,total RNA-seq,CL:0010002,epithelial cell of umbilical artery,primary_cell,newborn,,encode
463,usage_CL:0010003 total RNA-seq,-,total RNA-seq,CL:0010003,epithelial cell of alveolus of lung,primary_cell,"unknown,embryonic",,encode
464,usage_CL:0011012 total RNA-seq,-,total RNA-seq,CL:0011012,neural crest cell,in_vitro_differentiated_cells,embryonic,,encode
465,usage_CL:0011019 total RNA-seq,-,total RNA-seq,CL:0011019,mesothelial cell of epicardium,in_vitro_differentiated_cells,embryonic,,encode
466,usage_CL:0011020 total RNA-seq,-,total RNA-seq,CL:0011020,neural progenitor cell,in_vitro_differentiated_cells,embryonic,,encode
467,usage_CL:0011022 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:0011022,fibroblast of skin of back,primary_cell,embryonic,,encode
468,usage_CL:1000458 total RNA-seq,-,total RNA-seq,CL:1000458,melanocyte of skin,primary_cell,adult,,encode
469,usage_CL:1001568 total RNA-seq,-,total RNA-seq,CL:1001568,pulmonary artery endothelial cell,primary_cell,adult,,encode
470,usage_CL:1001606 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,,encode
471,usage_CL:1001606 total RNA-seq,-,total RNA-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,,encode
472,usage_CL:1001608 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:1001608,foreskin fibroblast,primary_cell,newborn,,encode
473,usage_CL:2000001 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:2000001,peripheral blood mononuclear cell,primary_cell,adult,,encode
474,usage_CL:2000007 total RNA-seq,-,total RNA-seq,CL:2000007,articular chondrocyte of knee joint,primary_cell,adult,,encode
475,usage_CL:2000010 total RNA-seq,-,total RNA-seq,CL:2000010,dermis blood vessel endothelial cell,primary_cell,child,,encode
476,usage_CL:2000011 total RNA-seq,-,total RNA-seq,CL:2000011,dermis lymphatic vessel endothelial cell,primary_cell,"child,adult",,encode
477,usage_CL:2000013 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:2000013,fibroblast of skin of abdomen,primary_cell,embryonic,,encode
478,usage_CL:2000016 total RNA-seq,-,total RNA-seq,CL:2000016,lung microvascular endothelial cell,primary_cell,adult,,encode
479,usage_CL:2000018 total RNA-seq,-,total RNA-seq,CL:2000018,endothelial cell of coronary artery,primary_cell,adult,,encode
480,usage_CL:2000040 total RNA-seq,-,total RNA-seq,CL:2000040,bladder microvascular endothelial cell,primary_cell,adult,,encode
481,usage_CL:2000041 total RNA-seq,-,total RNA-seq,CL:2000041,dermis microvascular lymphatic vessel endothelial cell,primary_cell,adult,,encode
482,usage_CL:2000045 polyA plus RNA-seq,-,polyA plus RNA-seq,CL:2000045,foreskin melanocyte,primary_cell,newborn,,encode
483,usage_CL:2000066 total RNA-seq,-,total RNA-seq,CL:2000066,cardiac ventricle fibroblast,primary_cell,"adult,unknown",,encode
484,usage_CL:2000067 total RNA-seq,-,total RNA-seq,CL:2000067,cardiac atrium fibroblast,primary_cell,child,,encode
485,usage_CL:2000068 total RNA-seq,-,total RNA-seq,CL:2000068,pericardium fibroblast,primary_cell,"embryonic,unknown",,encode
486,usage_CL:2000071 total RNA-seq,-,total RNA-seq,CL:2000071,mammary microvascular endothelial cell,primary_cell,adult,,encode
487,usage_CL:2000078 total RNA-seq,-,total RNA-seq,CL:2000078,placental pericyte,primary_cell,newborn,,encode
488,usage_CL:2000092 total RNA-seq,-,total RNA-seq,CL:2000092,hair follicular keratinocyte,primary_cell,adult,,encode
489,usage_CL:2000093 total RNA-seq,-,total RNA-seq,CL:2000093,bronchus fibroblast of lung,primary_cell,unknown,,encode
490,usage_CL:2000094 total RNA-seq,-,total RNA-seq,CL:2000094,nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa,primary_cell,adult,,encode
491,usage_CLO:0007045 polyA plus RNA-seq,-,polyA plus RNA-seq,CLO:0007045,"Jurkat, Clone E6-1",cell_line,child,,encode
492,usage_EFO:0000572 gtex Cells_EBV-transformed_lymphocytes polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0000572,lymphoblast,tissue,adult,Cells_EBV-transformed_lymphocytes,gtex
493,usage_EFO:0001086 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0001086,A549,cell_line,adult,,encode
494,usage_EFO:0001099 total RNA-seq,-,total RNA-seq,EFO:0001099,Caco-2,cell_line,adult,,encode
495,usage_EFO:0001187 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0001187,HepG2,cell_line,child,,encode
496,usage_EFO:0001187 total RNA-seq,-,total RNA-seq,EFO:0001187,HepG2,cell_line,child,,encode
497,usage_EFO:0001193 total RNA-seq,-,total RNA-seq,EFO:0001193,HT-29,cell_line,adult,,encode
498,usage_EFO:0001196 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0001196,IMR-90,cell_line,embryonic,,encode
499,usage_EFO:0001196 total RNA-seq,-,total RNA-seq,EFO:0001196,IMR-90,cell_line,embryonic,,encode
500,usage_EFO:0001200 total RNA-seq,-,total RNA-seq,EFO:0001200,MCF 10A,cell_line,adult,,encode
501,usage_EFO:0001203 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0001203,MCF-7,cell_line,adult,,encode
502,usage_EFO:0001203 total RNA-seq,-,total RNA-seq,EFO:0001203,MCF-7,cell_line,adult,,encode
503,usage_EFO:0002009 gtex Cells_Cultured_fibroblasts polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0002009,fibroblast derived cell line,tissue,adult,Cells_Cultured_fibroblasts,gtex
504,usage_EFO:0002059 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0002059,HT1080,cell_line,adult,,encode
505,usage_EFO:0002059 total RNA-seq,-,total RNA-seq,EFO:0002059,HT1080,cell_line,adult,,encode
506,usage_EFO:0002067 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0002067,K562,cell_line,adult,,encode
507,usage_EFO:0002067 total RNA-seq,-,total RNA-seq,EFO:0002067,K562,cell_line,adult,,encode
508,usage_EFO:0002074 total RNA-seq,-,total RNA-seq,EFO:0002074,PC-3,cell_line,adult,,encode
509,usage_EFO:0002101 total RNA-seq,-,total RNA-seq,EFO:0002101,A172,cell_line,adult,,encode
510,usage_EFO:0002103 total RNA-seq,-,total RNA-seq,EFO:0002103,A375,cell_line,adult,,encode
511,usage_EFO:0002106 total RNA-seq,-,total RNA-seq,EFO:0002106,A673,cell_line,child,,encode
512,usage_EFO:0002150 total RNA-seq,-,total RNA-seq,EFO:0002150,Caki2,cell_line,adult,,encode
513,usage_EFO:0002179 total RNA-seq,-,total RNA-seq,EFO:0002179,G401,cell_line,child,,encode
514,usage_EFO:0002184 total RNA-seq,-,total RNA-seq,EFO:0002184,H4,cell_line,adult,,encode
515,usage_EFO:0002234 total RNA-seq,-,total RNA-seq,EFO:0002234,MG63,cell_line,child,,encode
516,usage_EFO:0002330 total RNA-seq,-,total RNA-seq,EFO:0002330,SJSA1,cell_line,adult,,encode
517,usage_EFO:0002713 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0002713,Panc1,cell_line,adult,,encode
518,usage_EFO:0002713 total RNA-seq,-,total RNA-seq,EFO:0002713,Panc1,cell_line,adult,,encode
519,usage_EFO:0002779 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0002779,BJ,cell_line,newborn,,encode
520,usage_EFO:0002784 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0002784,GM12878,cell_line,adult,,encode
521,usage_EFO:0002784 total RNA-seq,-,total RNA-seq,EFO:0002784,GM12878,cell_line,adult,,encode
522,usage_EFO:0002785 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0002785,GM12891,cell_line,unknown,,encode
523,usage_EFO:0002786 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0002786,GM12892,cell_line,unknown,,encode
524,usage_EFO:0002791 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0002791,HeLa-S3,cell_line,adult,,encode
525,usage_EFO:0002819 total RNA-seq,-,total RNA-seq,EFO:0002819,Calu3,cell_line,adult,,encode
526,usage_EFO:0002824 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0002824,HCT116,cell_line,adult,,encode
527,usage_EFO:0002824 total RNA-seq,-,total RNA-seq,EFO:0002824,HCT116,cell_line,adult,,encode
528,usage_EFO:0002847 total RNA-seq,-,total RNA-seq,EFO:0002847,PC-9,cell_line,unknown,,encode
529,usage_EFO:0003042 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0003042,H1,cell_line,embryonic,,encode
530,usage_EFO:0003042 total RNA-seq,-,total RNA-seq,EFO:0003042,H1,cell_line,embryonic,,encode
531,usage_EFO:0003044 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0003044,NCI-H460,cell_line,unknown,,encode
532,usage_EFO:0003044 total RNA-seq,-,total RNA-seq,EFO:0003044,NCI-H460,cell_line,unknown,,encode
533,usage_EFO:0003045 total RNA-seq,-,total RNA-seq,EFO:0003045,H9,cell_line,embryonic,,encode
534,usage_EFO:0003072 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0003072,SK-N-SH,cell_line,child,,encode
535,usage_EFO:0005234 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0005234,PFSK-1,cell_line,child,,encode
536,usage_EFO:0005237 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0005237,U-87 MG,cell_line,adult,,encode
537,usage_EFO:0005697 total RNA-seq,-,total RNA-seq,EFO:0005697,M059J,cell_line,adult,,encode
538,usage_EFO:0005698 total RNA-seq,-,total RNA-seq,EFO:0005698,Daoy,cell_line,child,,encode
539,usage_EFO:0005712 total RNA-seq,-,total RNA-seq,EFO:0005712,RPMI7951,cell_line,adult,,encode
540,usage_EFO:0005714 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0005714,LHCN-M2,cell_line,adult,,encode
541,usage_EFO:0005714 total RNA-seq,-,total RNA-seq,EFO:0005714,LHCN-M2,cell_line,adult,,encode
542,usage_EFO:0005719 total RNA-seq,-,total RNA-seq,EFO:0005719,Karpas-422,cell_line,adult,,encode
543,usage_EFO:0005720 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0005720,SK-MEL-5,cell_line,adult,,encode
544,usage_EFO:0005720 total RNA-seq,-,total RNA-seq,EFO:0005720,SK-MEL-5,cell_line,adult,,encode
545,usage_EFO:0005721 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0005721,SK-N-DZ,cell_line,child,,encode
546,usage_EFO:0005722 total RNA-seq,-,total RNA-seq,EFO:0005722,SJCRH30,cell_line,child,,encode
547,usage_EFO:0005723 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0005723,GM23248,cell_line,adult,,encode
548,usage_EFO:0005723 total RNA-seq,-,total RNA-seq,EFO:0005723,GM23248,cell_line,adult,,encode
549,usage_EFO:0005725 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0005725,BE2C,cell_line,child,,encode
550,usage_EFO:0005904 total RNA-seq,-,total RNA-seq,EFO:0005904,H7,cell_line,embryonic,,encode
551,usage_EFO:0006270 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0006270,AG04450,cell_line,embryonic,,encode
552,usage_EFO:0006711 total RNA-seq,-,total RNA-seq,EFO:0006711,OCI-LY7,cell_line,adult,,encode
553,usage_EFO:0007089 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0007089,HUES64,cell_line,embryonic,,encode
554,usage_EFO:0007950 polyA plus RNA-seq,-,polyA plus RNA-seq,EFO:0007950,GM23338,cell_line,adult,,encode
555,usage_EFO:0007950 total RNA-seq,-,total RNA-seq,EFO:0007950,GM23338,cell_line,adult,,encode
556,usage_EFO:0009318 total RNA-seq,-,total RNA-seq,EFO:0009318,HFFc6,cell_line,newborn,,encode
