,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,gtex_tissue,data_source
0,usage_CL:0000047 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000047,neuronal stem cell,in_vitro_differentiated_cells,embryonic,,encode
1,usage_CL:0000062 total RNA-seq,+,total RNA-seq,CL:0000062,osteoblast,primary_cell,adult,,encode
2,usage_CL:0000084 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000084,T-cell,primary_cell,adult,,encode
3,usage_CL:0000084 total RNA-seq,+,total RNA-seq,CL:0000084,T-cell,primary_cell,adult,,encode
4,usage_CL:0000100 total RNA-seq,+,total RNA-seq,CL:0000100,motor neuron,in_vitro_differentiated_cells,adult,,encode
5,usage_CL:0000115 total RNA-seq,+,total RNA-seq,CL:0000115,endothelial cell,in_vitro_differentiated_cells,adult,,encode
6,usage_CL:0000121 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000121,Purkinje cell,primary_cell,child,,encode
7,usage_CL:0000127 total RNA-seq,+,total RNA-seq,CL:0000127,astrocyte,primary_cell,unknown,,encode
8,usage_CL:0000134 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000134,mesenchymal stem cell,in_vitro_differentiated_cells,embryonic,,encode
9,usage_CL:0000137 total RNA-seq,+,total RNA-seq,CL:0000137,osteocyte,in_vitro_differentiated_cells,embryonic,,encode
10,usage_CL:0000138 total RNA-seq,+,total RNA-seq,CL:0000138,chondrocyte,in_vitro_differentiated_cells,embryonic,,encode
11,usage_CL:0000169 total RNA-seq,+,total RNA-seq,CL:0000169,type B pancreatic cell,in_vitro_differentiated_cells,embryonic,,encode
12,usage_CL:0000182 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000182,hepatocyte,in_vitro_differentiated_cells,embryonic,,encode
13,usage_CL:0000182 total RNA-seq,+,total RNA-seq,CL:0000182,hepatocyte,in_vitro_differentiated_cells,embryonic,,encode
14,usage_CL:0000187 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000187,myocyte,in_vitro_differentiated_cells,adult,,encode
15,usage_CL:0000187 total RNA-seq,+,total RNA-seq,CL:0000187,myocyte,in_vitro_differentiated_cells,adult,,encode
16,usage_CL:0000192 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000192,smooth muscle cell,in_vitro_differentiated_cells,embryonic,,encode
17,usage_CL:0000192 total RNA-seq,+,total RNA-seq,CL:0000192,smooth muscle cell,in_vitro_differentiated_cells,embryonic,,encode
18,usage_CL:0000221 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000221,ectodermal cell,in_vitro_differentiated_cells,embryonic,,encode
19,usage_CL:0000222 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000222,mesodermal cell,in_vitro_differentiated_cells,embryonic,,encode
20,usage_CL:0000223 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000223,endodermal cell,in_vitro_differentiated_cells,embryonic,,encode
21,usage_CL:0000223 total RNA-seq,+,total RNA-seq,CL:0000223,endodermal cell,in_vitro_differentiated_cells,embryonic,,encode
22,usage_CL:0000236 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000236,B cell,primary_cell,adult,,encode
23,usage_CL:0000236 total RNA-seq,+,total RNA-seq,CL:0000236,B cell,primary_cell,adult,,encode
24,usage_CL:0000307 total RNA-seq,+,total RNA-seq,CL:0000307,tracheal epithelial cell,primary_cell,adult,,encode
25,usage_CL:0000312 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000312,keratinocyte,primary_cell,unknown,,encode
26,usage_CL:0000346 total RNA-seq,+,total RNA-seq,CL:0000346,hair follicle dermal papilla cell,primary_cell,adult,,encode
27,usage_CL:0000351 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000351,trophoblast cell,in_vitro_differentiated_cells,embryonic,,encode
28,usage_CL:0000515 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000515,skeletal muscle myoblast,primary_cell,unknown,,encode
29,usage_CL:0000515 total RNA-seq,+,total RNA-seq,CL:0000515,skeletal muscle myoblast,primary_cell,unknown,,encode
30,usage_CL:0000594 total RNA-seq,+,total RNA-seq,CL:0000594,skeletal muscle satellite cell,primary_cell,adult,,encode
31,usage_CL:0000623 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000623,natural killer cell,primary_cell,adult,,encode
32,usage_CL:0000623 total RNA-seq,+,total RNA-seq,CL:0000623,natural killer cell,primary_cell,adult,,encode
33,usage_CL:0000624 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,,encode
34,usage_CL:0000624 total RNA-seq,+,total RNA-seq,CL:0000624,"CD4-positive, alpha-beta T cell",primary_cell,adult,,encode
35,usage_CL:0000625 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,,encode
36,usage_CL:0000625 total RNA-seq,+,total RNA-seq,CL:0000625,"CD8-positive, alpha-beta T cell",primary_cell,adult,,encode
37,usage_CL:0000650 total RNA-seq,+,total RNA-seq,CL:0000650,mesangial cell,primary_cell,"unknown,embryonic",,encode
38,usage_CL:0000679 total RNA-seq,+,total RNA-seq,CL:0000679,glutamatergic neuron,in_vitro_differentiated_cells,adult,,encode
39,usage_CL:0000746 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000746,cardiac muscle cell,in_vitro_differentiated_cells,embryonic,,encode
40,usage_CL:0000746 total RNA-seq,+,total RNA-seq,CL:0000746,cardiac muscle cell,in_vitro_differentiated_cells,embryonic,,encode
41,usage_CL:0000788 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000788,naive B cell,primary_cell,unknown,,encode
42,usage_CL:0000792 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",primary_cell,unknown,,encode
43,usage_CL:0000823 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000823,immature natural killer cell,primary_cell,unknown,,encode
44,usage_CL:0000837 total RNA-seq,+,total RNA-seq,CL:0000837,hematopoietic multipotent progenitor cell,in_vitro_differentiated_cells,unknown,,encode
45,usage_CL:0000842 total RNA-seq,+,total RNA-seq,CL:0000842,mononuclear cell,primary_cell,adult,,encode
46,usage_CL:0000895 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,unknown,,encode
47,usage_CL:0000895 total RNA-seq,+,total RNA-seq,CL:0000895,"naive thymus-derived CD4-positive, alpha-beta T cell",primary_cell,adult,,encode
48,usage_CL:0000897 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,unknown,,encode
49,usage_CL:0000897 total RNA-seq,+,total RNA-seq,CL:0000897,"CD4-positive, alpha-beta memory T cell",primary_cell,adult,,encode
50,usage_CL:0000900 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",primary_cell,unknown,,encode
51,usage_CL:0000900 total RNA-seq,+,total RNA-seq,CL:0000900,"naive thymus-derived CD8-positive, alpha-beta T cell",primary_cell,adult,,encode
52,usage_CL:0000909 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,unknown,,encode
53,usage_CL:0000909 total RNA-seq,+,total RNA-seq,CL:0000909,"CD8-positive, alpha-beta memory T cell",primary_cell,adult,,encode
54,usage_CL:0001053 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0001053,IgD-negative memory B cell,primary_cell,unknown,,encode
55,usage_CL:0001054 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0001054,CD14-positive monocyte,primary_cell,adult,,encode
56,usage_CL:0001059 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0001059,"common myeloid progenitor, CD34-positive",primary_cell,adult,,encode
57,usage_CL:0002098 total RNA-seq,+,total RNA-seq,CL:0002098,regular cardiac myocyte,primary_cell,adult,,encode
58,usage_CL:0002188 total RNA-seq,+,total RNA-seq,CL:0002188,glomerular endothelial cell,primary_cell,embryonic,,encode
59,usage_CL:0002306 total RNA-seq,+,total RNA-seq,CL:0002306,epithelial cell of proximal tubule,primary_cell,unknown,,encode
60,usage_CL:0002319 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0002319,neural cell,in_vitro_differentiated_cells,embryonic,,encode
61,usage_CL:0002324 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0002324,myoepithelial cell of mammary gland,primary_cell,adult,,encode
62,usage_CL:0002326 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0002326,luminal epithelial cell of mammary gland,primary_cell,adult,,encode
63,usage_CL:0002327 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,,encode
64,usage_CL:0002327 total RNA-seq,+,total RNA-seq,CL:0002327,mammary epithelial cell,primary_cell,adult,,encode
65,usage_CL:0002328 total RNA-seq,+,total RNA-seq,CL:0002328,bronchial epithelial cell,primary_cell,adult,,encode
66,usage_CL:0002351 total RNA-seq,+,total RNA-seq,CL:0002351,progenitor cell of endocrine pancreas,in_vitro_differentiated_cells,embryonic,,encode
67,usage_CL:0002366 total RNA-seq,+,total RNA-seq,CL:0002366,myometrial cell,primary_cell,adult,,encode
68,usage_CL:0002368 total RNA-seq,+,total RNA-seq,CL:0002368,airway epithelial cell,primary_cell,unknown,,encode
69,usage_CL:0002372 total RNA-seq,+,total RNA-seq,CL:0002372,myotube,in_vitro_differentiated_cells,unknown,,encode
70,usage_CL:0002451 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0002451,mammary stem cell,primary_cell,adult,,encode
71,usage_CL:0002518 total RNA-seq,+,total RNA-seq,CL:0002518,kidney epithelial cell,primary_cell,"embryonic,newborn",,encode
72,usage_CL:0002539 total RNA-seq,+,total RNA-seq,CL:0002539,aortic smooth muscle cell,primary_cell,adult,,encode
73,usage_CL:0002540 total RNA-seq,+,total RNA-seq,CL:0002540,mesenchymal stem cell of the bone marrow,primary_cell,adult,,encode
74,usage_CL:0002543 total RNA-seq,+,total RNA-seq,CL:0002543,vein endothelial cell,primary_cell,adult,,encode
75,usage_CL:0002545 total RNA-seq,+,total RNA-seq,CL:0002545,thoracic aorta endothelial cell,primary_cell,adult,,encode
76,usage_CL:0002547 total RNA-seq,+,total RNA-seq,CL:0002547,fibroblast of the aortic adventitia,primary_cell,adult,,encode
77,usage_CL:0002551 total RNA-seq,+,total RNA-seq,CL:0002551,fibroblast of dermis,primary_cell,adult,,encode
78,usage_CL:0002553 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0002553,fibroblast of lung,primary_cell,adult,,encode
79,usage_CL:0002553 total RNA-seq,+,total RNA-seq,CL:0002553,fibroblast of lung,primary_cell,adult,,encode
80,usage_CL:0002558 total RNA-seq,+,total RNA-seq,CL:0002558,fibroblast of villous mesenchyme,primary_cell,newborn,,encode
81,usage_CL:0002568 total RNA-seq,+,total RNA-seq,CL:0002568,mesenchymal stem cell of Wharton's jelly,primary_cell,newborn,,encode
82,usage_CL:0002570 total RNA-seq,+,total RNA-seq,CL:0002570,mesenchymal stem cell of adipose,primary_cell,adult,,encode
83,usage_CL:0002577 total RNA-seq,+,total RNA-seq,CL:0002577,placental epithelial cell,primary_cell,newborn,,encode
84,usage_CL:0002583 total RNA-seq,+,total RNA-seq,CL:0002583,subcutaneous preadipocyte,primary_cell,adult,,encode
85,usage_CL:0002584 total RNA-seq,+,total RNA-seq,CL:0002584,renal cortical epithelial cell,primary_cell,adult,,encode
86,usage_CL:0002591 total RNA-seq,+,total RNA-seq,CL:0002591,smooth muscle cell of the pulmonary artery,primary_cell,adult,,encode
87,usage_CL:0002592 total RNA-seq,+,total RNA-seq,CL:0002592,smooth muscle cell of the coronary artery,primary_cell,adult,,encode
88,usage_CL:0002594 total RNA-seq,+,total RNA-seq,CL:0002594,smooth muscle cell of the umbilical artery,primary_cell,newborn,,encode
89,usage_CL:0002597 total RNA-seq,+,total RNA-seq,CL:0002597,smooth muscle cell of bladder,primary_cell,adult,,encode
90,usage_CL:0002598 total RNA-seq,+,total RNA-seq,CL:0002598,bronchial smooth muscle cell,primary_cell,adult,,encode
91,usage_CL:0002600 total RNA-seq,+,total RNA-seq,CL:0002600,smooth muscle cell of trachea,primary_cell,adult,,encode
92,usage_CL:0002601 total RNA-seq,+,total RNA-seq,CL:0002601,uterine smooth muscle cell,primary_cell,adult,,encode
93,usage_CL:0002618 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,,encode
94,usage_CL:0002618 total RNA-seq,+,total RNA-seq,CL:0002618,endothelial cell of umbilical vein,primary_cell,newborn,,encode
95,usage_CL:0010002 total RNA-seq,+,total RNA-seq,CL:0010002,epithelial cell of umbilical artery,primary_cell,newborn,,encode
96,usage_CL:0010003 total RNA-seq,+,total RNA-seq,CL:0010003,epithelial cell of alveolus of lung,primary_cell,"unknown,embryonic",,encode
97,usage_CL:0011012 total RNA-seq,+,total RNA-seq,CL:0011012,neural crest cell,in_vitro_differentiated_cells,embryonic,,encode
98,usage_CL:0011019 total RNA-seq,+,total RNA-seq,CL:0011019,mesothelial cell of epicardium,in_vitro_differentiated_cells,embryonic,,encode
99,usage_CL:0011020 total RNA-seq,+,total RNA-seq,CL:0011020,neural progenitor cell,in_vitro_differentiated_cells,embryonic,,encode
100,usage_CL:0011022 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:0011022,fibroblast of skin of back,primary_cell,embryonic,,encode
101,usage_CL:1000458 total RNA-seq,+,total RNA-seq,CL:1000458,melanocyte of skin,primary_cell,adult,,encode
102,usage_CL:1001568 total RNA-seq,+,total RNA-seq,CL:1001568,pulmonary artery endothelial cell,primary_cell,adult,,encode
103,usage_CL:1001606 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,,encode
104,usage_CL:1001606 total RNA-seq,+,total RNA-seq,CL:1001606,foreskin keratinocyte,primary_cell,newborn,,encode
105,usage_CL:1001608 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:1001608,foreskin fibroblast,primary_cell,newborn,,encode
106,usage_CL:2000001 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:2000001,peripheral blood mononuclear cell,primary_cell,adult,,encode
107,usage_CL:2000007 total RNA-seq,+,total RNA-seq,CL:2000007,articular chondrocyte of knee joint,primary_cell,adult,,encode
108,usage_CL:2000010 total RNA-seq,+,total RNA-seq,CL:2000010,dermis blood vessel endothelial cell,primary_cell,child,,encode
109,usage_CL:2000011 total RNA-seq,+,total RNA-seq,CL:2000011,dermis lymphatic vessel endothelial cell,primary_cell,"child,adult",,encode
110,usage_CL:2000013 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:2000013,fibroblast of skin of abdomen,primary_cell,embryonic,,encode
111,usage_CL:2000016 total RNA-seq,+,total RNA-seq,CL:2000016,lung microvascular endothelial cell,primary_cell,adult,,encode
112,usage_CL:2000018 total RNA-seq,+,total RNA-seq,CL:2000018,endothelial cell of coronary artery,primary_cell,adult,,encode
113,usage_CL:2000040 total RNA-seq,+,total RNA-seq,CL:2000040,bladder microvascular endothelial cell,primary_cell,adult,,encode
114,usage_CL:2000041 total RNA-seq,+,total RNA-seq,CL:2000041,dermis microvascular lymphatic vessel endothelial cell,primary_cell,adult,,encode
115,usage_CL:2000045 polyA plus RNA-seq,+,polyA plus RNA-seq,CL:2000045,foreskin melanocyte,primary_cell,newborn,,encode
116,usage_CL:2000066 total RNA-seq,+,total RNA-seq,CL:2000066,cardiac ventricle fibroblast,primary_cell,"adult,unknown",,encode
117,usage_CL:2000067 total RNA-seq,+,total RNA-seq,CL:2000067,cardiac atrium fibroblast,primary_cell,child,,encode
118,usage_CL:2000068 total RNA-seq,+,total RNA-seq,CL:2000068,pericardium fibroblast,primary_cell,"embryonic,unknown",,encode
119,usage_CL:2000071 total RNA-seq,+,total RNA-seq,CL:2000071,mammary microvascular endothelial cell,primary_cell,adult,,encode
120,usage_CL:2000078 total RNA-seq,+,total RNA-seq,CL:2000078,placental pericyte,primary_cell,newborn,,encode
121,usage_CL:2000092 total RNA-seq,+,total RNA-seq,CL:2000092,hair follicular keratinocyte,primary_cell,adult,,encode
122,usage_CL:2000093 total RNA-seq,+,total RNA-seq,CL:2000093,bronchus fibroblast of lung,primary_cell,unknown,,encode
123,usage_CL:2000094 total RNA-seq,+,total RNA-seq,CL:2000094,nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa,primary_cell,adult,,encode
124,usage_CLO:0007045 polyA plus RNA-seq,+,polyA plus RNA-seq,CLO:0007045,"Jurkat, Clone E6-1",cell_line,child,,encode
125,usage_EFO:0000572 gtex Cells_EBV-transformed_lymphocytes polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0000572,lymphoblast,tissue,adult,Cells_EBV-transformed_lymphocytes,gtex
126,usage_EFO:0001086 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0001086,A549,cell_line,adult,,encode
127,usage_EFO:0001099 total RNA-seq,+,total RNA-seq,EFO:0001099,Caco-2,cell_line,adult,,encode
128,usage_EFO:0001187 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0001187,HepG2,cell_line,child,,encode
129,usage_EFO:0001187 total RNA-seq,+,total RNA-seq,EFO:0001187,HepG2,cell_line,child,,encode
130,usage_EFO:0001193 total RNA-seq,+,total RNA-seq,EFO:0001193,HT-29,cell_line,adult,,encode
131,usage_EFO:0001196 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0001196,IMR-90,cell_line,embryonic,,encode
132,usage_EFO:0001196 total RNA-seq,+,total RNA-seq,EFO:0001196,IMR-90,cell_line,embryonic,,encode
133,usage_EFO:0001200 total RNA-seq,+,total RNA-seq,EFO:0001200,MCF 10A,cell_line,adult,,encode
134,usage_EFO:0001203 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0001203,MCF-7,cell_line,adult,,encode
135,usage_EFO:0001203 total RNA-seq,+,total RNA-seq,EFO:0001203,MCF-7,cell_line,adult,,encode
136,usage_EFO:0002009 gtex Cells_Cultured_fibroblasts polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002009,fibroblast derived cell line,tissue,adult,Cells_Cultured_fibroblasts,gtex
137,usage_EFO:0002059 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002059,HT1080,cell_line,adult,,encode
138,usage_EFO:0002059 total RNA-seq,+,total RNA-seq,EFO:0002059,HT1080,cell_line,adult,,encode
139,usage_EFO:0002067 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002067,K562,cell_line,adult,,encode
140,usage_EFO:0002067 total RNA-seq,+,total RNA-seq,EFO:0002067,K562,cell_line,adult,,encode
141,usage_EFO:0002074 total RNA-seq,+,total RNA-seq,EFO:0002074,PC-3,cell_line,adult,,encode
142,usage_EFO:0002101 total RNA-seq,+,total RNA-seq,EFO:0002101,A172,cell_line,adult,,encode
143,usage_EFO:0002103 total RNA-seq,+,total RNA-seq,EFO:0002103,A375,cell_line,adult,,encode
144,usage_EFO:0002106 total RNA-seq,+,total RNA-seq,EFO:0002106,A673,cell_line,child,,encode
145,usage_EFO:0002150 total RNA-seq,+,total RNA-seq,EFO:0002150,Caki2,cell_line,adult,,encode
146,usage_EFO:0002179 total RNA-seq,+,total RNA-seq,EFO:0002179,G401,cell_line,child,,encode
147,usage_EFO:0002184 total RNA-seq,+,total RNA-seq,EFO:0002184,H4,cell_line,adult,,encode
148,usage_EFO:0002234 total RNA-seq,+,total RNA-seq,EFO:0002234,MG63,cell_line,child,,encode
149,usage_EFO:0002330 total RNA-seq,+,total RNA-seq,EFO:0002330,SJSA1,cell_line,adult,,encode
150,usage_EFO:0002713 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002713,Panc1,cell_line,adult,,encode
151,usage_EFO:0002713 total RNA-seq,+,total RNA-seq,EFO:0002713,Panc1,cell_line,adult,,encode
152,usage_EFO:0002779 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002779,BJ,cell_line,newborn,,encode
153,usage_EFO:0002784 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002784,GM12878,cell_line,adult,,encode
154,usage_EFO:0002784 total RNA-seq,+,total RNA-seq,EFO:0002784,GM12878,cell_line,adult,,encode
155,usage_EFO:0002785 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002785,GM12891,cell_line,unknown,,encode
156,usage_EFO:0002786 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002786,GM12892,cell_line,unknown,,encode
157,usage_EFO:0002791 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002791,HeLa-S3,cell_line,adult,,encode
158,usage_EFO:0002819 total RNA-seq,+,total RNA-seq,EFO:0002819,Calu3,cell_line,adult,,encode
159,usage_EFO:0002824 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002824,HCT116,cell_line,adult,,encode
160,usage_EFO:0002824 total RNA-seq,+,total RNA-seq,EFO:0002824,HCT116,cell_line,adult,,encode
161,usage_EFO:0002847 total RNA-seq,+,total RNA-seq,EFO:0002847,PC-9,cell_line,unknown,,encode
162,usage_EFO:0003042 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0003042,H1,cell_line,embryonic,,encode
163,usage_EFO:0003042 total RNA-seq,+,total RNA-seq,EFO:0003042,H1,cell_line,embryonic,,encode
164,usage_EFO:0003044 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0003044,NCI-H460,cell_line,unknown,,encode
165,usage_EFO:0003044 total RNA-seq,+,total RNA-seq,EFO:0003044,NCI-H460,cell_line,unknown,,encode
166,usage_EFO:0003045 total RNA-seq,+,total RNA-seq,EFO:0003045,H9,cell_line,embryonic,,encode
167,usage_EFO:0003072 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0003072,SK-N-SH,cell_line,child,,encode
168,usage_EFO:0005234 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0005234,PFSK-1,cell_line,child,,encode
169,usage_EFO:0005237 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0005237,U-87 MG,cell_line,adult,,encode
170,usage_EFO:0005697 total RNA-seq,+,total RNA-seq,EFO:0005697,M059J,cell_line,adult,,encode
171,usage_EFO:0005698 total RNA-seq,+,total RNA-seq,EFO:0005698,Daoy,cell_line,child,,encode
172,usage_EFO:0005712 total RNA-seq,+,total RNA-seq,EFO:0005712,RPMI7951,cell_line,adult,,encode
173,usage_EFO:0005714 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0005714,LHCN-M2,cell_line,adult,,encode
174,usage_EFO:0005714 total RNA-seq,+,total RNA-seq,EFO:0005714,LHCN-M2,cell_line,adult,,encode
175,usage_EFO:0005719 total RNA-seq,+,total RNA-seq,EFO:0005719,Karpas-422,cell_line,adult,,encode
176,usage_EFO:0005720 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0005720,SK-MEL-5,cell_line,adult,,encode
177,usage_EFO:0005720 total RNA-seq,+,total RNA-seq,EFO:0005720,SK-MEL-5,cell_line,adult,,encode
178,usage_EFO:0005721 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0005721,SK-N-DZ,cell_line,child,,encode
179,usage_EFO:0005722 total RNA-seq,+,total RNA-seq,EFO:0005722,SJCRH30,cell_line,child,,encode
180,usage_EFO:0005723 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0005723,GM23248,cell_line,adult,,encode
181,usage_EFO:0005723 total RNA-seq,+,total RNA-seq,EFO:0005723,GM23248,cell_line,adult,,encode
182,usage_EFO:0005725 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0005725,BE2C,cell_line,child,,encode
183,usage_EFO:0005904 total RNA-seq,+,total RNA-seq,EFO:0005904,H7,cell_line,embryonic,,encode
184,usage_EFO:0006270 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0006270,AG04450,cell_line,embryonic,,encode
185,usage_EFO:0006711 total RNA-seq,+,total RNA-seq,EFO:0006711,OCI-LY7,cell_line,adult,,encode
186,usage_EFO:0007089 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0007089,HUES64,cell_line,embryonic,,encode
187,usage_EFO:0007950 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0007950,GM23338,cell_line,adult,,encode
188,usage_EFO:0007950 total RNA-seq,+,total RNA-seq,EFO:0007950,GM23338,cell_line,adult,,encode
189,usage_EFO:0009318 total RNA-seq,+,total RNA-seq,EFO:0009318,HFFc6,cell_line,newborn,,encode
190,usage_EFO:0009747 total RNA-seq,+,total RNA-seq,EFO:0009747,WTC11,cell_line,adult,,encode
191,usage_EFO:0030018 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0030018,BLaER1,cell_line,unknown,,encode
192,usage_NTR:0000427 polyA plus RNA-seq,+,polyA plus RNA-seq,NTR:0000427,neurosphere,primary_cell,embryonic,,encode
193,usage_NTR:0000491 total RNA-seq,+,total RNA-seq,NTR:0000491,Right ventricle myocardium inferior,tissue,adult,,encode
194,usage_NTR:0000492 total RNA-seq,+,total RNA-seq,NTR:0000492,Right ventricle myocardium superior,tissue,adult,,encode
195,usage_NTR:0000493 total RNA-seq,+,total RNA-seq,NTR:0000493,left ventricle myocardium inferior,tissue,adult,,encode
196,usage_NTR:0000494 total RNA-seq,+,total RNA-seq,NTR:0000494,left ventricle myocardium superior,tissue,adult,,encode
197,usage_NTR:0000524 polyA plus RNA-seq,+,polyA plus RNA-seq,NTR:0000524,fibroblast of skin of scalp,primary_cell,embryonic,,encode
198,usage_NTR:0000856 polyA plus RNA-seq,+,polyA plus RNA-seq,NTR:0000856,mesendoderm,in_vitro_differentiated_cells,embryonic,,encode
199,usage_NTR:0003013 polyA plus RNA-seq,+,polyA plus RNA-seq,NTR:0003013,placental basal plate,tissue,embryonic,,encode
200,usage_UBERON:0000007 gtex Pituitary polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000007,pituitary gland,tissue,adult,Pituitary,gtex
201,usage_UBERON:0000016 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000016,endocrine pancreas,tissue,adult,,encode
202,usage_UBERON:0000019 total RNA-seq,+,total RNA-seq,UBERON:0000019,camera-type eye,tissue,embryonic,,encode
203,usage_UBERON:0000056 total RNA-seq,+,total RNA-seq,UBERON:0000056,ureter,tissue,adult,,encode
204,usage_UBERON:0000081 total RNA-seq,+,total RNA-seq,UBERON:0000081,metanephros,tissue,embryonic,,encode
205,usage_UBERON:0000088 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000088,trophoblast,tissue,embryonic,,encode
206,usage_UBERON:0000305 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000305,amnion,tissue,embryonic,,encode
207,usage_UBERON:0000317 total RNA-seq,+,total RNA-seq,UBERON:0000317,colonic mucosa,tissue,adult,,encode
208,usage_UBERON:0000458 gtex Cervix_Endocervix polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000458,endocervix,tissue,adult,Cervix_Endocervix,gtex
209,usage_UBERON:0000473 gtex Testis polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000473,testis,tissue,adult,Testis,gtex
210,usage_UBERON:0000473 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000473,testis,tissue,adult,,encode
211,usage_UBERON:0000473 total RNA-seq,+,total RNA-seq,UBERON:0000473,testis,tissue,adult,,encode
