,name,strand,Assay title,ontology_curie,biosample_name,biosample_type,biosample_life_stage,gtex_tissue,data_source,endedness,genetically_modified,nonzero_mean
102,CL:2000071 total RNA-seq,+,total RNA-seq,CL:2000071,mammary microvascular endothelial cell,primary_cell,adult,,encode,paired,False,0.31211143732070923
103,CL:2000078 total RNA-seq,+,total RNA-seq,CL:2000078,placental pericyte,primary_cell,newborn,,encode,paired,False,0.10321545600891113
104,CL:2000092 total RNA-seq,+,total RNA-seq,CL:2000092,hair follicular keratinocyte,primary_cell,adult,,encode,paired,False,0.3467121720314026
105,CL:2000093 total RNA-seq,+,total RNA-seq,CL:2000093,bronchus fibroblast of lung,primary_cell,unknown,,encode,paired,False,0.34249013662338257
106,CL:2000094 total RNA-seq,+,total RNA-seq,CL:2000094,nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa,primary_cell,adult,,encode,paired,False,0.09655441343784332
107,EFO:0001086 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0001086,A549,cell_line,adult,,encode,paired,False,0.12940572202205658
108,EFO:0001099 total RNA-seq,+,total RNA-seq,EFO:0001099,Caco-2,cell_line,adult,,encode,single,False,0.14284469187259674
109,EFO:0001187 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0001187,HepG2,cell_line,child,,encode,paired,False,0.17039045691490173
110,EFO:0001187 total RNA-seq,+,total RNA-seq,EFO:0001187,HepG2,cell_line,child,,encode,paired,False,0.1829448640346527
111,EFO:0001193 total RNA-seq,+,total RNA-seq,EFO:0001193,HT-29,cell_line,adult,,encode,paired,False,0.21550512313842773
112,EFO:0001196 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0001196,IMR-90,cell_line,embryonic,,encode,paired,False,0.20879118144512177
113,EFO:0001196 total RNA-seq,+,total RNA-seq,EFO:0001196,IMR-90,cell_line,embryonic,,encode,paired,False,0.11308588832616806
114,EFO:0001200 total RNA-seq,+,total RNA-seq,EFO:0001200,MCF 10A,cell_line,adult,,encode,single,False,0.16067937016487122
115,EFO:0001203 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0001203,MCF-7,cell_line,adult,,encode,paired,False,0.12140543013811111
116,EFO:0001203 total RNA-seq,+,total RNA-seq,EFO:0001203,MCF-7,cell_line,adult,,encode,single,False,0.19371487200260162
117,EFO:0002059 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002059,HT1080,cell_line,adult,,encode,paired,False,0.17536093294620514
118,EFO:0002059 total RNA-seq,+,total RNA-seq,EFO:0002059,HT1080,cell_line,adult,,encode,paired,False,0.26604166626930237
119,EFO:0002067 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002067,K562,cell_line,adult,,encode,paired,False,0.12911121547222137
120,EFO:0002067 total RNA-seq,+,total RNA-seq,EFO:0002067,K562,cell_line,adult,,encode,paired,False,0.09864901006221771
121,EFO:0002074 total RNA-seq,+,total RNA-seq,EFO:0002074,PC-3,cell_line,adult,,encode,paired,False,0.19547946751117706
122,EFO:0002101 total RNA-seq,+,total RNA-seq,EFO:0002101,A172,cell_line,adult,,encode,paired,False,0.28052324056625366
123,EFO:0002103 total RNA-seq,+,total RNA-seq,EFO:0002103,A375,cell_line,adult,,encode,paired,False,0.15175825357437134
124,EFO:0002106 total RNA-seq,+,total RNA-seq,EFO:0002106,A673,cell_line,child,,encode,single,False,0.13962921500205994
125,EFO:0002150 total RNA-seq,+,total RNA-seq,EFO:0002150,Caki2,cell_line,adult,,encode,paired,False,0.9990426301956177
126,EFO:0002179 total RNA-seq,+,total RNA-seq,EFO:0002179,G401,cell_line,child,,encode,paired,False,0.5957048535346985
127,EFO:0002184 total RNA-seq,+,total RNA-seq,EFO:0002184,H4,cell_line,adult,,encode,paired,False,0.5086643099784851
128,EFO:0002234 total RNA-seq,+,total RNA-seq,EFO:0002234,MG63,cell_line,child,,encode,paired,False,0.769120454788208
129,EFO:0002330 total RNA-seq,+,total RNA-seq,EFO:0002330,SJSA1,cell_line,adult,,encode,paired,False,0.21904774010181427
130,EFO:0002713 total RNA-seq,+,total RNA-seq,EFO:0002713,Panc1,cell_line,adult,,encode,single,False,0.23880760371685028
131,EFO:0002779 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002779,BJ,cell_line,newborn,,encode,paired,False,0.21585357189178467
132,EFO:0002784 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002784,GM12878,cell_line,adult,,encode,paired,False,0.10530221462249756
133,EFO:0002784 total RNA-seq,+,total RNA-seq,EFO:0002784,GM12878,cell_line,adult,,encode,paired,False,0.1013726070523262
134,EFO:0002791 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0002791,HeLa-S3,cell_line,adult,,encode,paired,False,0.15916843712329865
135,EFO:0002819 total RNA-seq,+,total RNA-seq,EFO:0002819,Calu3,cell_line,adult,,encode,single,False,0.136725053191185
136,EFO:0002824 total RNA-seq,+,total RNA-seq,EFO:0002824,HCT116,cell_line,adult,,encode,single,False,0.2341846525669098
137,EFO:0002847 total RNA-seq,+,total RNA-seq,EFO:0002847,PC-9,cell_line,unknown,,encode,single,False,0.13823053240776062
138,EFO:0003042 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0003042,H1,cell_line,embryonic,,encode,paired,False,0.10293757915496826
139,EFO:0003042 total RNA-seq,+,total RNA-seq,EFO:0003042,H1,cell_line,embryonic,,encode,single,False,0.1727115660905838
140,EFO:0003044 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0003044,NCI-H460,cell_line,unknown,,encode,paired,False,0.37686166167259216
141,EFO:0003044 total RNA-seq,+,total RNA-seq,EFO:0003044,NCI-H460,cell_line,unknown,,encode,paired,False,0.14361432194709778
142,EFO:0003045 total RNA-seq,+,total RNA-seq,EFO:0003045,H9,cell_line,embryonic,,encode,single,False,0.1480276882648468
143,EFO:0003072 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0003072,SK-N-SH,cell_line,child,,encode,paired,False,0.19397687911987305
144,EFO:0005697 total RNA-seq,+,total RNA-seq,EFO:0005697,M059J,cell_line,adult,,encode,paired,False,0.4214603304862976
145,EFO:0005698 total RNA-seq,+,total RNA-seq,EFO:0005698,Daoy,cell_line,child,,encode,paired,False,0.3396725654602051
146,EFO:0005712 total RNA-seq,+,total RNA-seq,EFO:0005712,RPMI7951,cell_line,adult,,encode,paired,False,0.23329555988311768
147,EFO:0005714 total RNA-seq,+,total RNA-seq,EFO:0005714,LHCN-M2,cell_line,adult,,encode,paired,False,0.18331725895404816
148,EFO:0005719 total RNA-seq,+,total RNA-seq,EFO:0005719,Karpas-422,cell_line,adult,,encode,paired,False,0.16822701692581177
149,EFO:0005720 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0005720,SK-MEL-5,cell_line,adult,,encode,paired,False,0.225653737783432
150,EFO:0005720 total RNA-seq,+,total RNA-seq,EFO:0005720,SK-MEL-5,cell_line,adult,,encode,paired,False,0.18815664947032928
151,EFO:0005721 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0005721,SK-N-DZ,cell_line,child,,encode,paired,False,0.2373400777578354
152,EFO:0005722 total RNA-seq,+,total RNA-seq,EFO:0005722,SJCRH30,cell_line,child,,encode,paired,False,0.11020320653915405
153,EFO:0005723 total RNA-seq,+,total RNA-seq,EFO:0005723,GM23248,cell_line,adult,,encode,paired,False,0.3644750416278839
154,EFO:0005904 total RNA-seq,+,total RNA-seq,EFO:0005904,H7,cell_line,embryonic,,encode,paired,False,0.19296839833259583
155,EFO:0006270 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0006270,AG04450,cell_line,embryonic,,encode,paired,False,0.1846042424440384
156,EFO:0006711 total RNA-seq,+,total RNA-seq,EFO:0006711,OCI-LY7,cell_line,adult,,encode,paired,False,0.14875547587871552
157,EFO:0007089 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0007089,HUES64,cell_line,embryonic,,encode,paired,False,0.29977187514305115
158,EFO:0007950 total RNA-seq,+,total RNA-seq,EFO:0007950,GM23338,cell_line,adult,,encode,paired,False,0.10916931182146072
159,EFO:0009318 total RNA-seq,+,total RNA-seq,EFO:0009318,HFFc6,cell_line,newborn,,encode,single,False,0.10509984195232391
160,EFO:0009747 total RNA-seq,+,total RNA-seq,EFO:0009747,WTC11,cell_line,adult,,encode,single,False,0.11312755942344666
161,EFO:0030018 polyA plus RNA-seq,+,polyA plus RNA-seq,EFO:0030018,BLaER1,cell_line,unknown,,encode,paired,False,0.15814301371574402
162,NTR:0000427 polyA plus RNA-seq,+,polyA plus RNA-seq,NTR:0000427,neurosphere,primary_cell,embryonic,,encode,paired,False,0.07274492084980011
163,NTR:0000491 total RNA-seq,+,total RNA-seq,NTR:0000491,Right ventricle myocardium inferior,tissue,adult,,encode,single,False,0.32427701354026794
164,NTR:0000492 total RNA-seq,+,total RNA-seq,NTR:0000492,Right ventricle myocardium superior,tissue,adult,,encode,single,False,0.288472443819046
165,NTR:0000493 total RNA-seq,+,total RNA-seq,NTR:0000493,left ventricle myocardium inferior,tissue,adult,,encode,single,False,0.3049757480621338
166,NTR:0000494 total RNA-seq,+,total RNA-seq,NTR:0000494,left ventricle myocardium superior,tissue,adult,,encode,single,False,0.3131106197834015
167,NTR:0000856 polyA plus RNA-seq,+,polyA plus RNA-seq,NTR:0000856,mesendoderm,in_vitro_differentiated_cells,embryonic,,encode,paired,False,0.163086399435997
168,NTR:0003013 polyA plus RNA-seq,+,polyA plus RNA-seq,NTR:0003013,placental basal plate,tissue,embryonic,,encode,paired,False,0.07087478041648865
169,UBERON:0000016 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000016,endocrine pancreas,tissue,adult,,encode,paired,False,0.08397355675697327
170,UBERON:0000019 total RNA-seq,+,total RNA-seq,UBERON:0000019,camera-type eye,tissue,embryonic,,encode,paired,False,0.0823257565498352
171,UBERON:0000056 total RNA-seq,+,total RNA-seq,UBERON:0000056,ureter,tissue,adult,,encode,single,False,0.1433965563774109
172,UBERON:0000081 total RNA-seq,+,total RNA-seq,UBERON:0000081,metanephros,tissue,embryonic,,encode,paired,False,0.06954433768987656
173,UBERON:0000088 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000088,trophoblast,tissue,embryonic,,encode,paired,False,0.06895212084054947
174,UBERON:0000305 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000305,amnion,tissue,embryonic,,encode,paired,False,0.05813951417803764
175,UBERON:0000317 total RNA-seq,+,total RNA-seq,UBERON:0000317,colonic mucosa,tissue,adult,,encode,single,False,0.23028472065925598
176,UBERON:0000473 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000473,testis,tissue,adult,,encode,paired,False,0.1770746260881424
177,UBERON:0000473 total RNA-seq,+,total RNA-seq,UBERON:0000473,testis,tissue,adult,,encode,paired,False,0.05251283198595047
178,UBERON:0000945 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000945,stomach,tissue,adult,,encode,paired,False,0.4686560034751892
179,UBERON:0000945 total RNA-seq,+,total RNA-seq,UBERON:0000945,stomach,tissue,adult,,encode,paired,False,0.21596461534500122
180,UBERON:0000947 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000947,aorta,tissue,adult,,encode,paired,False,0.3552292287349701
181,UBERON:0000947 total RNA-seq,+,total RNA-seq,UBERON:0000947,aorta,tissue,adult,,encode,single,False,0.10199231654405594
182,UBERON:0000948 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000948,heart,tissue,adult,,encode,paired,False,0.3406100273132324
183,UBERON:0000948 total RNA-seq,+,total RNA-seq,UBERON:0000948,heart,tissue,adult,,encode,paired,False,0.08766400068998337
184,UBERON:0000955 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000955,brain,tissue,adult,,encode,paired,False,0.6184623837471008
185,UBERON:0000992 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0000992,ovary,tissue,adult,,encode,paired,False,0.12122903764247894
186,UBERON:0000992 total RNA-seq,+,total RNA-seq,UBERON:0000992,ovary,tissue,adult,,encode,paired,False,0.11545416712760925
187,UBERON:0000995 total RNA-seq,+,total RNA-seq,UBERON:0000995,uterus,tissue,adult,,encode,paired,False,0.36165136098861694
188,UBERON:0000996 total RNA-seq,+,total RNA-seq,UBERON:0000996,vagina,tissue,adult,,encode,paired,False,0.23906712234020233
189,UBERON:0001013 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0001013,adipose tissue,tissue,adult,,encode,paired,False,0.16599632799625397
190,UBERON:0001043 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0001043,esophagus,tissue,adult,,encode,paired,False,0.09775491803884506
191,UBERON:0001072 total RNA-seq,+,total RNA-seq,UBERON:0001072,posterior vena cava,tissue,adult,,encode,single,False,0.12246505171060562
192,UBERON:0001114 total RNA-seq,+,total RNA-seq,UBERON:0001114,right lobe of liver,tissue,adult,,encode,paired,False,0.1526584029197693
193,UBERON:0001115 total RNA-seq,+,total RNA-seq,UBERON:0001115,left lobe of liver,tissue,adult,,encode,single,False,0.2238539606332779
194,UBERON:0001134 total RNA-seq,+,total RNA-seq,UBERON:0001134,skeletal muscle tissue,tissue,embryonic,,encode,paired,False,0.10401706397533417
195,UBERON:0001150 total RNA-seq,+,total RNA-seq,UBERON:0001150,body of pancreas,tissue,adult,,encode,paired,False,0.14467252790927887
196,UBERON:0001157 total RNA-seq,+,total RNA-seq,UBERON:0001157,transverse colon,tissue,adult,,encode,paired,False,0.09727869927883148
197,UBERON:0001159 polyA plus RNA-seq,+,polyA plus RNA-seq,UBERON:0001159,sigmoid colon,tissue,adult,,encode,paired,False,0.3216996192932129
